farmer_id,grid_id,lat,lon,data_f
0,0,22.185,70.885,
1,1,22.185,70.895,
2,2,22.185,70.905,
3,3,22.185,70.915,
4,4,22.185,70.925,
5,5,22.185,70.935,
6,6,22.185,70.945,
7,7,22.185,70.955,
8,8,22.185,70.965,
9,9,22.185,70.975,
10,10,22.185,70.985,
11,11,22.185,70.995,
12,12,22.185,71.005,
13,13,22.185,71.015,
14,14,22.185,71.025,
15,15,22.185,71.035,
16,16,22.185,71.045,
17,17,22.185,71.055,
18,18,22.185,71.065,
19,19,22.185,71.075,
20,20,22.185,71.085,
21,21,22.185,71.095,
22,22,22.185,71.105,
23,23,22.185,71.115,
24,24,22.185,71.125,
25,25,22.185,71.135,
26,26,22.185,71.145,
27,27,22.185,71.155,
28,28,22.185,71.165,
29,28,22.185,71.165,
30,28,22.185,71.165,
31,28,22.185,71.165,
32,28,22.185,71.165,
33,28,22.185,71.165,
34,28,22.185,71.165,
35,28,22.185,71.165,
36,28,22.185,71.165,
37,28,22.185,71.165,
38,29,22.185,71.175,
39,29,22.185,71.175,
40,29,22.185,71.175,
41,29,22.185,71.175,
42,29,22.185,71.175,
43,29,22.185,71.175,
44,29,22.185,71.175,
45,29,22.185,71.175,
46,29,22.185,71.175,
47,29,22.185,71.175,
48,29,22.185,71.175,
49,29,22.185,71.175,
50,29,22.185,71.175,
51,29,22.185,71.175,
52,29,22.185,71.175,
53,29,22.185,71.175,
54,29,22.185,71.175,
55,29,22.185,71.175,
56,29,22.185,71.175,
57,29,22.185,71.175,
58,29,22.185,71.175,
59,29,22.185,71.175,
60,29,22.185,71.175,
61,29,22.185,71.175,
62,30,22.185,71.185,
63,30,22.185,71.185,
64,30,22.185,71.185,
65,30,22.185,71.185,
66,30,22.185,71.185,
67,30,22.185,71.185,
68,30,22.185,71.185,
69,30,22.185,71.185,
70,30,22.185,71.185,
71,30,22.185,71.185,
72,30,22.185,71.185,
73,30,22.185,71.185,
74,30,22.185,71.185,
75,30,22.185,71.185,
76,30,22.185,71.185,
77,30,22.185,71.185,
78,30,22.185,71.185,
79,30,22.185,71.185,
80,30,22.185,71.185,
81,30,22.185,71.185,
82,30,22.185,71.185,
83,30,22.185,71.185,
84,30,22.185,71.185,
85,30,22.185,71.185,
86,31,22.185,71.195,
87,31,22.185,71.195,
88,31,22.185,71.195,
89,31,22.185,71.195,
90,31,22.185,71.195,
91,31,22.185,71.195,
92,31,22.185,71.195,
93,31,22.185,71.195,
94,31,22.185,71.195,
95,31,22.185,71.195,
96,31,22.185,71.195,
97,31,22.185,71.195,
98,31,22.185,71.195,
99,31,22.185,71.195,
100,31,22.185,71.195,
101,31,22.185,71.195,
102,31,22.185,71.195,
103,31,22.185,71.195,
104,31,22.185,71.195,
105,31,22.185,71.195,
