,grid_id,lat,lon,type,include,area,irrigation,drip,well,add_bw,efficiency,water,cd,livestock
0,0,22.185,70.885,0,0,15.7,1,0,1,1,0.5,0,0,1
1,1,22.185,70.895,0,0,15.7,0,0,0,0,0.5,0,0,1
2,2,22.185,70.905,0,0,15.7,1,0,1,0,0.5,0,0,0
3,3,22.185,70.915,0,0,15.7,1,0,1,0,0.5,0,0,1
4,4,22.185,70.925,0,0,15.7,1,0,1,1,0.5,0,0,1
5,5,22.185,70.935,0,0,15.7,1,0,1,1,0.5,0,0,0
6,6,22.185,70.945,0,0,15.7,1,0,1,0,0.5,0,0,1
7,7,22.185,70.955,0,0,15.7,0,0,0,0,0.5,0,0,1
8,8,22.185,70.965,0,0,15.7,1,0,1,0,0.5,0,0,1
9,9,22.185,70.975,0,0,15.7,0,0,0,0,0.5,0,0,0
10,10,22.185,70.985,Sm,1,1.45,0,0,0,0,0.5,0,0,1
11,11,22.185,70.995,Sm,1,1.45,1,0,1,0,0.5,0,0,1
12,12,22.185,71.005,0,0,15.7,0,0,0,0,0.5,0,0,1
13,13,22.185,71.015,0,0,15.7,1,0,1,1,0.5,0,0,1
14,14,22.185,71.025,0,0,15.7,1,0,1,0,0.5,0,0,0
15,15,22.185,71.035,0,0,15.7,0,0,0,0,0.5,0,0,1
16,16,22.185,71.045,0,0,15.7,1,0,1,0,0.5,0,0,1
17,17,22.185,71.055,0,0,15.7,1,0,1,0,0.5,0,0,0
18,18,22.185,71.065,0,0,15.7,1,0,1,0,0.5,0,0,1
19,19,22.185,71.075,0,0,15.7,1,0,1,0,0.5,0,0,0
20,20,22.185,71.085,0,0,15.7,1,0,1,0,0.5,0,0,1
21,21,22.185,71.095,0,0,15.7,1,0,1,0,0.5,0,0,1
22,22,22.185,71.105,0,0,15.7,1,0,1,0,0.5,0,0,1
23,23,22.185,71.115,0,0,15.7,0,0,0,0,0.5,0,0,1
24,24,22.185,71.125,0,0,15.7,1,0,1,1,0.5,0,0,1
25,25,22.185,71.135,0,0,15.7,1,0,1,0,0.5,0,0,1
26,26,22.185,71.145,Sm,1,1.45,1,0,1,0,0.5,0,0,0
27,27,22.185,71.155,Sm,1,1.45,0,0,0,0,0.5,0,0,1
28,28,22.185,71.165,Mr,1,0.67,1,0,1,0,0.5,0,0,0
29,28,22.185,71.165,Mr,1,0.67,1,0,1,0,0.5,0,0,1
30,28,22.185,71.165,Sm,1,1.45,1,0,1,1,0.5,0,0,1
31,28,22.185,71.165,Sm,1,1.45,1,0,1,0,0.5,0,0,1
32,28,22.185,71.165,Sm,1,1.45,1,0,1,0,0.5,0,0,1
33,28,22.185,71.165,Sme,1,2.7,1,0,1,0,0.5,0,0,1
34,28,22.185,71.165,Sme,1,2.7,1,0,1,1,0.5,0,0,0
35,28,22.185,71.165,Sme,1,2.7,1,0,1,0,0.5,0,0,1
36,28,22.185,71.165,Sm,1,1.45,0,0,0,0,0.5,0,0,1
37,28,22.185,71.165,Me,1,5.7,0,0,0,0,0.5,0,0,1
38,29,22.185,71.175,Mr,1,0.67,1,0,1,0,0.5,0,0,1
39,29,22.185,71.175,Mr,1,0.67,1,0,1,0,0.5,0,0,0
40,29,22.185,71.175,Mr,1,0.67,1,0,1,0,0.5,0,0,1
41,29,22.185,71.175,Mr,1,0.67,1,0,1,0,0.5,0,0,0
42,29,22.185,71.175,Sm,1,1.45,1,0,1,0,0.5,0,0,1
43,29,22.185,71.175,Sm,1,1.45,1,0,1,1,0.5,0,0,1
44,29,22.185,71.175,Sm,1,1.45,1,0,1,1,0.5,0,0,1
45,29,22.185,71.175,Sm,1,1.45,1,0,1,1,0.5,0,0,1
46,29,22.185,71.175,Sm,1,1.45,1,0,1,0,0.5,0,0,1
47,29,22.185,71.175,Sm,1,1.45,1,0,1,0,0.5,0,0,0
48,29,22.185,71.175,Sme,1,2.7,1,0,1,1,0.5,0,0,1
49,29,22.185,71.175,Sme,1,2.7,1,0,1,1,0.5,0,0,0
50,29,22.185,71.175,Sme,1,2.7,1,0,1,0,0.5,0,0,1
51,29,22.185,71.175,Me,1,5.7,1,0,1,1,0.5,0,0,1
52,29,22.185,71.175,Mr,1,0.67,0,0,0,0,0.5,0,0,0
53,29,22.185,71.175,Mr,1,0.67,0,0,0,0,0.5,0,0,1
54,29,22.185,71.175,Sm,1,1.45,0,0,0,0,0.5,0,0,0
